# proposed by Roozbeh based on analysis of dingbats fonts
# on 2016/08/23
23E9 FE0E; text style;  # BLACK RIGHT-POINTING DOUBLE TRIANGLE
1F551 FE0F; emoji style; # CLOCK FACE TWO OCLOCK
1F552 FE0E; text style;  # CLOCK FACE THREE OCLOCK
1F552 FE0F; emoji style; # CLOCK FACE THREE OCLOCK
1F553 FE0E; text style;  # CLOCK FACE FOUR OCLOCK
1F553 FE0F; emoji style; # CLOCK FACE FOUR OCLOCK
1F554 FE0E; text style;  # CLOCK FACE FIVE OCLOCK
1F554 FE0F; emoji style; # CLOCK FACE FIVE OCLOCK
1F555 FE0E; text style;  # CLOCK FACE SIX OCLOCK
1F555 FE0F; emoji style; # CLOCK FACE SIX OCLOCK
1F556 FE0E; text style;  # CLOCK FACE SEVEN OCLOCK
1F556 FE0F; emoji style; # CLOCK FACE SEVEN OCLOCK
1F557 FE0E; text style;  # CLOCK FACE EIGHT OCLOCK
1F557 FE0F; emoji style; # CLOCK FACE EIGHT OCLOCK
1F558 FE0E; text style;  # CLOCK FACE NINE OCLOCK
1F558 FE0F; emoji style; # CLOCK FACE NINE OCLOCK
1F559 FE0E; text style;  # CLOCK FACE TEN OCLOCK
1F559 FE0F; emoji style; # CLOCK FACE TEN OCLOCK
1F55A FE0E; text style;  # CLOCK FACE ELEVEN OCLOCK
1F55A FE0F; emoji style; # CLOCK FACE ELEVEN OCLOCK
1F55B FE0E; text style;  # CLOCK FACE TWELVE OCLOCK
1F55B FE0F; emoji style; # CLOCK FACE TWELVE OCLOCK
1F55C FE0E; text style;  # CLOCK FACE ONE-THIRTY
1F55C FE0F; emoji style; # CLOCK FACE ONE-THIRTY
1F55D FE0E; text style;  # CLOCK FACE TWO-THIRTY
1F55D FE0F; emoji style; # CLOCK FACE TWO-THIRTY
1F55E FE0E; text style;  # CLOCK FACE THREE-THIRTY
1F55E FE0F; emoji style; # CLOCK FACE THREE-THIRTY
1F55F FE0E; text style;  # CLOCK FACE FOUR-THIRTY
1F55F FE0F; emoji style; # CLOCK FACE FOUR-THIRTY
1F560 FE0E; text style;  # CLOCK FACE FIVE-THIRTY
1F560 FE0F; emoji style; # CLOCK FACE FIVE-THIRTY
1F561 FE0E; text style;  # CLOCK FACE SIX-THIRTY
1F561 FE0F; emoji style; # CLOCK FACE SIX-THIRTY
1F562 FE0E; text style;  # CLOCK FACE SEVEN-THIRTY
1F562 FE0F; emoji style; # CLOCK FACE SEVEN-THIRTY
1F563 FE0E; text style;  # CLOCK FACE EIGHT-THIRTY
1F563 FE0F; emoji style; # CLOCK FACE EIGHT-THIRTY
1F564 FE0E; text style;  # CLOCK FACE NINE-THIRTY
1F564 FE0F; emoji style; # CLOCK FACE NINE-THIRTY
1F565 FE0E; text style;  # CLOCK FACE TEN-THIRTY
1F565 FE0F; emoji style; # CLOCK FACE TEN-THIRTY
